Informazioni cronologiche,Sesso,Quale è la tua fascia di età ,Vivi a Tricarico?,Hai figli?,Studi o lavori a Tricarico?,Hai (o hai mai avuto) intenzione di lasciare il paese nei prossimi anni?,Lavori o Studi da fuorisede?,Pensi che tornerai stabilmente a vivere a Tricarico?,"Quello che fai fuori*, potresti farlo a Tricarico?  
(*se lavori o studi fuori regione)","Vorresti, se potessi, tornare a vivere stabilmente a Tricarico",In che ambito lavori (o studi)?,Quali sono principalmente le ragioni per cui hai dovuto lasciare Tricarico? (scegli fino a 2 opzioni),Tricarico è un posto tranquillo per metter su famiglia,Chi lavora a Tricarico vive bene ,Tricarico è il posto dove vorrei vivere per sempre,"Tricarico offre tantissime opportunità (lavorative, sociali, di crescita)",Tricarico è un punto nevralgico della Basilicata,A Tricarico sento di poter esprimere tutto il mio potenziale,"Tricarico è (aggettivo positivo) : 
[puoi scegliere al massimo 3 opzioni]","Tricarico è (aggettivo negativo): 
[puoi scegliere al massimo 3 opzioni]","Se fossi il Sindaco della Città e avessi un'ingente somma a disposizione, su cosa investiresti subito? (scegli fino a 2 opzioni)",Quali sono secondo te i punti di forza del paese? (scegli fino a 2 opzioni),Pensi sia più importante:,Pensi sia più importante:,Pensi sia più importante:,Com'è la Tricarico che vorresti?,Come immagini Tricarico tra 10 anni?,Consigli per i candidati sindaci?
2023/05/05 8:50:55 PM CET,Donna,46-55,"Si, ogni giorno",Si,"Si, lavoro a Tricarico","No, mai",,,,,,,4,4,5,3,3,3,Tranquilla,Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Viva,Attiva,Collaborazione 
2023/05/05 8:57:57 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,2,4,3,1,2,1,Tranquilla,Spenta;Egoista e invidiosa,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Meno invidiosa e più coesa, solo così potrebbe riprendersi perché l'unione fa la forza","Che si ripopoli, una città che offre opportunità ai giovani e un paese più unito",Valorizzare il patrimonio culturale e amare il proprio paese per non farlo diventare come craco
2023/05/05 9:01:02 PM CET,Uomo,19-25,"Si, ogni giorno",No,"No, studio altrove","No, mai",,,,,,,3,3,5,3,3,5,Concorrenza e cattiveria tra tutti ,Sporca;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Senza rivalità ,Com'era 20 anni fa,Creare lavoro non pensare solo al centro storico
2023/05/05 9:01:43 PM CET,Uomo,26-35,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci ho pensato ma ho cambiato idea",,,,,,,4,4,3,1,2,3,Tranquilla,Disordinata;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Innovare e spingere per la creazione di nuove attività e progetti,"Più sviluppata economicamente, con più abitanti ",Peggio di calciano se non si riesce ad invertire il trend demografico ,"Più collaborazione tra di loro, meno clientelismo, creare progetti di sviluppo del paese sul lungo periodo "
2023/05/05 9:04:45 PM CET,Donna,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,5,3,1,3,1,Tranquilla,Spenta,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Mi ci vuole tempo e nn ho tempo 😔,"Spero più avanti, ma credo totalmente morta ",Siate coerenti con quello che dite per Chiunque vinca 
2023/05/05 9:05:06 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,2,2,1,1,2,1,Divertente,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Produttiva, unita e pulita ",O si cambia o si muore ,Essere coerenti con il programma politico ed aperti ad ogni confronto per la risoluzione dei problemi della nostra comunista 
2023/05/05 9:06:28 PM CET,Uomo,16-18,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,4,3,2,1,5,1,na merda,Sporca;Disordinata;non posso selezionare tutto,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,fate l’amore non fate la guerra ,no c favor,"investire sul turismo, unica (possibile) attività che può salvare il paese"
2023/05/05 9:07:40 PM CET,Uomo,26-35,"Si, ogni giorno",No,"No, lavoro altrove","Si, ci sto pensando",,,,,,,4,4,3,4,5,3,Tranquilla,Sporca;Disordinata;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Sicuramente migliore di com'è ora.,Come Craco vecchio.,Migliorassero questo paese e non il loro portafogli.
2023/05/05 9:09:22 PM CET,Uomo,26-35,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,2,1,1,1,2,1,Pulita;Tranquilla;Ordinata,Noiosa;Spenta;Divisa,Turismo/Cultura;Intrattenimento,Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più avanzata,Vuota,Datevi da fare 
2023/05/05 9:09:31 PM CET,Donna,26-35,"No, ma torno spesso",,,,Lavoro in Basilicata,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,4,3,3,1,1,1,Tranquilla,Spenta;Divisa,Agricoltura;Sviluppo di attività produttive,"Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Vitale, ripopolata",Simile a Calciano,Lavoro e giovani
2023/05/05 9:14:25 PM CET,Donna,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Lavoro,4,3,3,1,3,1,Tranquilla,Noiosa;Spenta;Poco coesa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;L'autenticità ,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Vorrei che creasse qualcosa di concreto e partecipato. Ad esempio una settimana d'estate con eventi di musica ma anche letteratura visto i personaggi come Rocco Scotellaro ma che non siano eventi fini a se stessi ma che includono tutti i cittadini. Un evento con musica ma anche bontà gastronomiche che attragga gente a conoscere il paese e farlo conoscere. Magari cooperando con i paesi vicini.,Purtroppo senza un cambiamento deserta,Puntare sul patrimonio culturale e il turismo ma anche nelle infrastrutture 
2023/05/05 9:14:35 PM CET,Donna,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,4,4,2,1,3,3,Tranquilla,Noiosa;Spenta;Divisa,"Servizi pubblici (Ville, giardini, ecc...);Intrattenimento",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Viva, all’avanguardia.","Se si continua così, peggio d’oggi.","Coinvolgere i giovani in più attività possibili (dalle attività di sensibilizzazione al rispetto del paese, della cultura e delle traduzioni a quelle volte ad innovarlo)"
2023/05/05 9:15:57 PM CET,Donna,26-35,"Si, ogni giorno",Si,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,4,2,5,2,3,2,Tranquilla,Sporca;Spenta;Divisa,"Sviluppo di attività produttive;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Coesa e migliorata ,Sicuramente meglio di come è al momento ,Non fatevi la guerra ma collaborate
2023/05/05 9:16:52 PM CET,Donna,19-25,"Si, ogni giorno",No,"No, studio altrove","Si, ci sto pensando",,,,,,,2,3,2,1,4,1,Tranquilla;Divertente,Noiosa;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Viva,Vuota,Mettere in pratica quello che dicono
2023/05/05 9:16:58 PM CET,Donna,36-45,"Si, ogni giorno",Si,"No, lavoro altrove","Si, ci sto pensando",,,,,,,5,1,3,1,4,1,Tranquilla,Sporca;Disordinata;Noiosa,Turismo/Cultura,Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,La tricarico che vorrei è la stessa degli anni 90,Morto deserto ,Onestà e pensare solo al bene del paese
2023/05/05 9:19:31 PM CET,Donna,26-35,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,4,3,4,3,3,1,Tranquilla,Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Tranquillità e basso tasso di delinquenza,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Libera dai giochi di poteri, dai falsi sorrisi; vorrei che gli artisti, chi ama la cultura esca di casa e si confronti nelle piazze. Vorrei che l'arte e la musica diano gioia al cuore così nessuno si ritroverà a cadere nella trappola della droga oggi fortemente presente nella nostra cittadina.","l'inverno la immagino con un cancello chiuso come quello del cimitero messo ai cappuccini, d'estate la immagino come un luogo dove avere i propri spazi e trovare la propria dimensione","Ricordatevi che prima di essere sindaci siete cittadini e padri di futuri cittadini... Il nostro è un dovere morale. Tricarico è la nostra casa e se il vento la ""scoperchia"" noi insieme dobbiamo aggiustare. Tutti noi, noi comunità, siamo l'ultima speranza che questa città ha per sopravvivere."
2023/05/05 9:23:16 PM CET,Uomo,16-18,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,5,5,3,2,4,3,Coesa;Tranquilla;Divertente,Sporca;Noiosa;Spenta,"Servizi pubblici (Ville, giardini, ecc...);Intrattenimento",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Un paese che attira molte persone ,Vuoto,Fate qualche infrastruttura per i ragazzi 
2023/05/05 9:23:19 PM CET,Donna,16-18,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,5,3,1,1,2,1,Tranquilla;Trash,Sporca;Noiosa;Spenta,Sviluppo di attività produttive;Intrattenimento,Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Viva, piena di gente, di ragazzi, e anche poche bocche larghe non sarebbero male. ","Desolato, con massimo 500 abitanti ",Coggè per piacere renditi utile e valorizza il paese facendo capire ai giovani quanto siano fortunati a vivere in un paese così perciò organizza eventi belli che vogliamo  fare il macello. E per piacere aggiusta le strutture sportive aperte e non che qua già ci annoiamo poi manco sport possiamo fa
2023/05/05 9:25:40 PM CET,Donna,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"Si, studio fuori regione ma potrei studiare la stessa cosa in Basilicata",,,,5,3,2,1,5,2,Pulita;Tranquilla;Piena di persone che fanno ape la domenica mattina,Spenta;Divisa;Deserta,"Turismo/Cultura;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Ospedale,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Più unita e fiera del suo potenziale,"Non lo so, sinceramente ","Fate proposte decenti, ma soprattutto realizzabili e tenete in considerazione i ragazzi "
2023/05/05 9:26:24 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,5,3,3,2,3,3,Tranquilla,Disordinata;Noiosa;Spenta,Sviluppo di attività produttive,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Una cittadina dove noi giovani possiamo avere un futuro degno.,Spero rinata. ,Credere davvero nel paese 
2023/05/05 9:26:43 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,4,4,1,2,1,Tranquilla,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Comunità (relazioni sociali, stile di vita, ...);Bellezze naturali",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Avere un contesto socioculturale nettamente migliore, in modo da poter accogliere potenziali nuovi, ma anche vecchi, cittadini tricaricesi e nel contempo contrastare il fenomeno della disgregazione sociale, che a mio parere rimane il principale problema della nostra piccola comunità ",La miglior risposta è la non risposta ,"Coesione politica interna ma soprattutto dialogo con il contesto, politico e non, esterno. 
Rivitalizzare il turismo garantendo servizi e strutture adeguate, cercando di combinare fattori culturali e paesaggistici con possibili nuovi attattori "
2023/05/05 9:28:58 PM CET,Donna,19-25,"Si, ogni giorno",No,"Si, studio a Tricarico","Si, ci sto pensando",,,,,,,3,5,1,1,4,1,Tranquilla,Disordinata;Spenta;Divisa,Sviluppo di attività produttive,"Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,meno cattiveria ,spero che migliori in tutto e per tuttoo,che vinca il migliore
2023/05/05 9:31:20 PM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,4,2,1,1,5,1,Tranquilla,Noiosa;Spenta;Divisa,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Viva, e con attività anche nel centro storico",Sempre meno popolata e isolata ,Riuscire a sfruttare fondi e avere una programmazione reale per il turismo 
2023/05/05 9:31:43 PM CET,Donna,19-25,"Si, ogni giorno",No,"No, studio altrove","Si, ci sto pensando",,,,,,,4,4,3,1,3,1,Tranquilla;Ordinata,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive","Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Attiva,e con più apertura verso la novità, magari aprendo un centro dove i cittadini possano lavorare in Smart working ",Spero più attiva ,Attirare i giovani ed aiutarli a restare a tricarico con soluzioni concrete 
2023/05/05 9:33:30 PM CET,Donna,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci sto pensando",,,,,,,2,1,3,1,5,2,Tranquilla,Sporca;Disordinata;Spenta,"Servizi pubblici (Ville, giardini, ecc...);Intrattenimento",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"-piena di gente
-mettere a disposizione qualcosa per i giovani ma anche per i più piccoli
-recuperare la fontana vecchia perché è bellissima ed è un peccato vederla abbandonata così
-organizzare serate, soprattutto in estate
-non mi viene in mente più niente ma ci sarebbero tantissime cosa da dire",non me la immagino se continuiamo così ,"spero che chiunque delle due liste vinca l’elezione, faccia qualcosa per recuperare tricarico e soprattutto non guardare solo agli interessi personali. "
2023/05/05 9:35:10 PM CET,Donna,19-25,"Si, ogni giorno",No,"No, studio altrove","Si, ci sto pensando",,,,,,,2,2,1,5,3,2,Pulita;Coesa;Tranquilla,Noiosa;Spenta;Divisa,Agricoltura;Sviluppo di attività produttive,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Con tante opportunità e voglia di restare,Vuota,Rimettere tutto al loro posto e iniziare una nuova vita per i cittadini.E pensarla  in un modo non medievale
2023/05/05 9:36:26 PM CET,Uomo,19-25,"Si, ogni giorno",No,"Si, lavoro a Tricarico","Si, ci ho pensato ma ho cambiato idea",,,,,,,2,5,2,3,2,2,Noioso,Noiosa;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento","Comunità (relazioni sociali, stile di vita, ...);Bellezze naturali",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Più viva e più unita,Meglio di oggi,Meno favoritismi più fatti per la comunità 
2023/05/05 9:37:18 PM CET,Donna,19-25,"Si, ogni giorno",No,"No, studio altrove","Si, ci sto pensando",,,,,,,3,5,1,1,1,1,Tranquilla,Noiosa;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Ricca, piena di opportunità lavorative soprattutto per i giovani, attività che facciamo rinascere il paese ",Desolata,Di mettere in pratica davvero ciò che viene detto sul palco e non pensare solo ai fatti propri 
2023/05/05 9:40:59 PM CET,Donna,26-35,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,3,1,1,1,1,Divertente;Divertente solo nei periodi di festa,Sporca;Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Centri sportivi ","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Vorrei che le feste patronali tornassero ad essere divertenti come una volta. Le giostre non vengono più, così come il circo. Vorrei raggiungere Tricarico tramite dei pullman, non costringerndo nessuno a venirmi a prendere a bari o potenza ",Non riesco proprio ad immaginarla,Ascoltare i giovani 
2023/05/05 9:41:18 PM CET,Donna,16-18,"Si, ogni giorno",No,"No, studio altrove","Si, ci sto pensando",,,,,,,1,2,2,1,1,1,Tranquilla,Noiosa;Spenta;Divisa,Sviluppo di attività produttive,Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,.,Vuota ,.
2023/05/05 9:43:00 PM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,3,2,1,3,2,Tranquilla;Accogliente,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Alla fine c'è del potenziale un po' in tutto,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Coesa, collaborativa, organizzata, più pulita, attiva, rinnovata",Voglio essere ottimista: guarda il punto precedente (non si chiede la luna ),Collaborazione
